Date,fips,vaccine
11-30-2021,39155,100494
11-30-2021,56023,7539
11-30-2021,35035,36189
11-30-2021,29097,53155
11-30-2021,17009,3152
11-30-2021,36113,45659
11-30-2021,8019,4448
11-30-2021,37175,17503
11-30-2021,51157,3667
11-30-2021,5029,10303
11-30-2021,4005,100654
11-30-2021,13119,3642
11-30-2021,22115,22752
11-30-2021,21219,4758
11-30-2021,13023,1643
11-30-2021,48307,2853
11-30-2021,48463,13135
11-30-2021,31177,10621
11-30-2021,37075,3899
11-30-2021,54085,1866
11-30-2021,46055,755
11-30-2021,21189,1911
11-30-2021,18091,57363
11-30-2021,51760,94764
11-30-2021,28121,74049
11-30-2021,48071,18631
11-30-2021,13243,1375
11-30-2021,48119,1761
11-30-2021,48465,29174
11-30-2021,13145,7715
11-30-2021,55105,103136
11-30-2021,27057,9476
11-30-2021,45023,13563
11-30-2021,13227,5204
11-30-2021,51147,6954
11-30-2021,30045,736
11-30-2021,48331,10338
11-30-2021,30077,2942
11-30-2021,37091,10293
11-30-2021,1109,12689
11-30-2021,27127,7553
11-30-2021,17007,29628
11-30-2021,37095,2925
11-30-2021,19163,95019
11-30-2021,40071,16953
11-30-2021,47013,16149
11-30-2021,21103,7965
11-30-2021,48427,42545
11-30-2021,12131,33074
11-30-2021,22101,20565
11-30-2021,19025,5379
11-30-2021,42013,56088
11-30-2021,37013,23857
11-30-2021,39005,21351
11-30-2021,51077,6031
11-30-2021,21009,18533
11-30-2021,4025,100276
11-30-2021,19149,12261
11-30-2021,27061,23675
11-30-2021,28021,4436
11-30-2021,29145,13888
11-30-2021,29099,91083
11-30-2021,31129,1929
11-30-2021,29153,2669
11-30-2021,30019,666
11-30-2021,30031,61611
11-30-2021,40073,6969
11-30-2021,41067,414579
11-30-2021,1087,7826
11-30-2021,26039,6793
11-30-2021,31041,3855
11-30-2021,48457,7229
11-30-2021,36073,20619
11-30-2021,13163,5177
11-30-2021,28095,16520
11-30-2021,24041,25246
11-30-2021,36075,64228
11-30-2021,29093,3640
11-30-2021,17071,2600
11-30-2021,48181,56373
11-30-2021,17103,18731
11-30-2021,51840,11580
11-30-2021,20149,8871
11-30-2021,8015,12179
11-30-2021,47037,411938
11-30-2021,19081,4945
11-30-2021,22005,58942
11-30-2021,48447,589
11-30-2021,38057,2964
11-30-2021,48351,3194
11-30-2021,36077,33784
11-30-2021,18077,16781
11-30-2021,42015,23252
11-30-2021,1133,4824
11-30-2021,38065,462
11-30-2021,46117,1684
11-30-2021,39163,4766
11-30-2021,47171,9022
11-30-2021,28013,5822
11-30-2021,37135,102445
11-30-2021,27167,3173
11-30-2021,5061,6694
11-30-2021,37169,19618
11-30-2021,56013,22659
11-30-2021,19165,6357
11-30-2021,22073,63662
11-30-2021,8045,34942
11-30-2021,37105,31585
11-30-2021,12101,299162
11-30-2021,27155,1904
11-30-2021,13321,3725
11-30-2021,31059,2692
11-30-2021,22041,6834
11-30-2021,21177,14549
11-30-2021,54055,23534
11-30-2021,6043,0
11-30-2021,51810,241593
11-30-2021,48281,9199
11-30-2021,54031,3410
11-30-2021,42109,15056
11-30-2021,40147,20309
11-30-2021,46077,3051
11-30-2021,39159,33053
11-30-2021,19089,4427
11-30-2021,47027,2069
11-30-2021,22089,27651
11-30-2021,28117,9990
